id,name,city,category,website_url,current_legacy_price,current_ticket_prices,needs_price,egyptian_price,foreigner_price,current_best_visit_times,best_visit_season,best_visit_time_of_day,notes
75,Catacombs of Kom El Shoqafa,Alexandria,historical,,80.0,,Y,30,200,"{""season"": ""Year-round"", ""time_of_day"": ""Any time""}","Year-round (Alexandria mildest April–June, September–November)",Mid-morning,"Ministry of Tourism & Antiquities official price list (mota.gov.eg, Nov 2024) (Kom al-Shuqafa)"
302,El-Alamein War Cemetery,Alexandria,historical,https://www.cwgc.org/find-a-cemetery/cemetery/2019000/EL%20ALAMEIN%20WAR%20CEMETERY,,,Y,,,,October–April (most respectful in cool weather; ANZAC commemorations 25 April),Mid-morning,unverified — Egyptian monument prices have changed multiple times in 2023–2025; confirm on official site / egymonuments.gov.eg before import
78,Pompey's Pillar,Alexandria,historical,,80.0,,Y,20,200,"{""season"": ""Year-round"", ""time_of_day"": ""Any time""}",April–November,Mid-morning,"Ministry of Tourism & Antiquities official price list (mota.gov.eg, Nov 2024) (Pompey's Pillar)"
115,Qaitbay Citadel,Alexandria,historical,,40.0,,Y,60,200,,April–November (Alexandria sea-front),Late afternoon for warm light on the citadel walls,"Ministry of Tourism & Antiquities official price list (mota.gov.eg, Nov 2024) (Qaitbay Citadel Alex)"
299,Ras El Tin Palace,Alexandria,historical,,,,Y,,,,April–November (Alexandria mild),"Mid-morning (exterior only — military zone, limited access)",unverified — Egyptian monument prices have changed multiple times in 2023–2025; confirm on official site / egymonuments.gov.eg before import
297,Roman Amphitheatre,Alexandria,historical,,80.0,,Y,20,200,,April–November,Mid-morning,"Ministry of Tourism & Antiquities official price list (mota.gov.eg, Nov 2024) (Kom al-Dekka Amphitheatre)"
304,Roman Baths (Kom El Deka),Alexandria,historical,http://www.alexandria.gov.eg/services/tourism/alextourism/museums/roman_th.html,80.0,,Y,20,200,,April–November,Mid-morning,"Ministry of Tourism & Antiquities official price list (mota.gov.eg, Nov 2024) (part of Kom al-Dekka site, same ticket as Roman Amphitheatre)"
300,Serapeum of Alexandria,Alexandria,historical,,80.0,,Y,20,200,,April–November,Mid-morning,"Ministry of Tourism & Antiquities official price list (mota.gov.eg, Nov 2024) (Serapeum is at Pompey's Pillar site, same ticket)"
303,Sunken City (Abukir),Alexandria,historical,,500.0,,Y,35,180,,April–November,Morning (boat trip; sea conditions calmer in summer),"Ministry of Tourism & Antiquities official price list (mota.gov.eg, Nov 2024) (Underwater Antiquities Abukir)"
301,Taposiris Magna,Alexandria,historical,,50.0,,Y,,,,April–November,Mid-morning,unverified — Egyptian monument prices have changed multiple times in 2023–2025; confirm on official site / egymonuments.gov.eg before import
298,Villa of the Birds,Alexandria,historical,,60.0,,Y,20,200,,April–November,Mid-morning,"Ministry of Tourism & Antiquities official price list (mota.gov.eg, Nov 2024) (Villa of the Birds — included in Kom al-Dekka site ticket)"
311,Alexandria Aquarium,Alexandria,cultural,,20.0,,Y,,,,Year-round,Late morning,unverified — Egyptian monument prices have changed multiple times in 2023–2025; confirm on official site / egymonuments.gov.eg before import
312,Alexandria Opera House,Alexandria,cultural,,,,Y,,,,Year-round (opera season October–June),Evening performances; check schedule,unverified — Egyptian monument prices have changed multiple times in 2023–2025; confirm on official site / egymonuments.gov.eg before import
73,Bibliotheca Alexandrina,Alexandria,cultural,https://www.bibalex.org/ar/default,70.0,,Y,10,150,"{""season"": ""Year-round"", ""time_of_day"": ""Any time""}","Year-round (Alexandria mildest April–June, September–November)",Mid-morning or late afternoon,"Bibliotheca Alexandrina official admission page (bibalex.org/en/page/ba_visiting) (Main Library adult ticket; includes guided tour, Culturama show, Sadat Museum, exhibitions)"
307,Cavafy Museum,Alexandria,cultural,,30.0,,Y,,,,April–November,Mid-morning,unverified — Egyptian monument prices have changed multiple times in 2023–2025; confirm on official site / egymonuments.gov.eg before import
306,Greco-Roman Museum,Alexandria,cultural,http://www.alexandria.gov.eg/Alex/english/Graeco%20Roman%20Museum.html,150.0,"{""currency"": ""EGP"", ""egyptian"": 40, ""foreigner"": 400}",skip,,,,April–November,Mid-morning,
310,Mahmoud Said Museum,Alexandria,cultural,http://www.alexandria.gov.eg/services/tourism/alextourism/museums/mahmoudsaid_mus.html,40.0,,Y,,,,April–November,Mid-morning,unverified — Egyptian monument prices have changed multiple times in 2023–2025; confirm on official site / egymonuments.gov.eg before import
313,Manuscripts Museum,Alexandria,cultural,https://www.bibalex.org/ar/default,30.0,,Y,20,60,,April–November,Mid-morning (with Bibliotheca visit),Bibliotheca Alexandrina official admission page (bibalex.org/en/page/ba_visiting) (Manuscripts Museum standalone ticket; inclusive 4-museum ticket is 50/300 EGP)
308,Museum of Fine Arts,Alexandria,cultural,https://m.facebook.com/MogamaaAlIskandareyaLelFnoon/?locale2=ar_AR,20.0,,Y,,,,April–November,Mid-morning,unverified — Egyptian monument prices have changed multiple times in 2023–2025; confirm on official site / egymonuments.gov.eg before import
309,Planetarium Science Center,Alexandria,cultural,https://www.bibalex.org/PSC,50.0,,Y,50,200,,Year-round,Late morning or afternoon (check show schedule),Bibliotheca Alexandrina official admission page (bibalex.org/en/page/ba_visiting) (Planetarium adult ticket; ALEXploratorium 20/150 and 12D Theater 30/150 ticket separately)
