poi_name,poi_id,category,region,best_source_url,official_description,source_count,matched,method,kind
Panorama Reef,Panorama Reef,natural,Hurghada,https://www.padi.com/dive-site/egypt/panorama-north-2/,Panorama reef is one of the biggest and well-known reefs in Safaga. The extent of this single big coral block is 400 meters. Usually you dove at the south point with it&#x27;s exceptional plateau going down to 35 meters. Down there you can see Eagle rays. Unique in this place is a wonderful anemone field sloping down from the surface to 15 meter. More than 40 Anemone fishes are usual seen there. This area is ideal for drift dives. By good weather conditions you can dive on the north side where you can find beautiful coral formations.,1,True,api,authoritative
Sha'ab Abu Nuhas (Shipwreck Reef),Sha'ab Abu Nuhas (Shipwreck Reef),natural,Hurghada,https://www.padi.com/dive-site/egypt/abu-nuhas-ghiannis-d/,"The Loss of the Giannis D: In April 1983, the Giannis D was loaded with sawn timber at Rijeka, Croatia destined for Saudi Arabia and Yemen. The ship made good time through the Mediterranean and down through the Suez Canal. On 19 April 1983 she was approaching the Straits of Gobal at full speed when the ship was seen to suddenly veer sharply from her course and drive hard onto the north west corner of Sha’ab Abu Nuhas Reef. The crew abandoned the vessel and were safely rescued.",1,True,api,authoritative
Tobia Arba (The Seven Pillars),Tobia Arba (The Seven Pillars),natural,Hurghada,https://www.padi.com/dive-site/egypt/tobia-arbaa-7-pillars/,"As the name suggests 7 pillars come up from a depth of 10 to 12 meters, rising up almost to the surface. They are surrounded by small coral where you can find all kinds of fish",1,True,api,authoritative
Abu Dabbab Bay,Abu Dabbab Bay,natural,Marsa Alam,https://www.padi.com/dive-site/egypt/abu-dabbab-1-dive-site/,"Abu Dabbab 1 is one of the most popular dive sites in Marsa Alam, Egypt, offering a unique mix of sandy bottom, coral reefs, and rich seagrass beds. Ideal for all experience levels, this site is famous for encounters with the rare dugong (sea cow) and large green turtles, often seen grazing in the shallow seagrass areas. The calm, clear waters make Abu Dabbab 1 perfect for underwater photography and relaxed diving. Divers can explore vibrant coral gardens teeming with clownfish, lionfish, butterflyfish, and the occasional guitar shark or blue-spotted stingray. The combination of easy shore access, abundant marine life, and excellent visibility makes it a must-visit location in Marsa Alam. Whether you&#x27;re a beginner or a seasoned diver, Abu Dabbab 1 offers unforgettable experiences beneath the surface. Join Blue Ocean Dive Centers &amp; Resorts for guided dives and discover why Abu Dabbab is one of the Red Sea’s most beloved dive sites.",1,True,api,authoritative
Brother Islands (Al Ikhwan),Brother Islands (Al Ikhwan),natural,Marsa Alam,https://www.padi.com/dive-site/egypt/brother-islands/,"Brothers Islands (El Ikhwa) — two remote volcanic islets (Big Brother &amp; Little Brother) 67 km offshore El Quseir, Egypt — is a Red Sea marine park and one of the world’s top 10 dive sites. Accessible only by liveaboard, it’s legendary for pristine vertical walls, iconic wrecks, and big shark encounters. Depth: 5–70 m (walls drop to 600+ m) Current: Strong (1–4 knots; advanced drift only) Visibility: 20–35 m Water Temp: 22–30°C Best Season: Apr–May, Oct–Nov (peak shark action) Type: Wall, drift, wreck, coral garden Big Brother (north) features a historic 1883 lighthouse and two legendary wrecks: Numidia (1901, 15–75 m, cargo ship with rail artifacts) and Aida (1953, 30–65 m, supply vessel). Both are draped in soft corals and teeming with life. Little Brother (south, 1 km away) boasts stunning unspoiled coral walls and is a prime hammerhead spot.",1,True,api,authoritative
Daedalus Reef (Abu Kizan),Daedalus Reef (Abu Kizan),natural,Marsa Alam,https://www.padi.com/dive-site/egypt/daedalus-reef/,"Daedalus Reef (Abu Kizan) is a remote, isolated oceanic reef in the Egyptian Red Sea, ~90 km east of Marsa Alam. A liveaboard-only site, it’s famed as one of the world’s best hammerhead shark dive sites, with epic pelagic encounters and pristine walls. Depth: 5–40 m (drop-offs to 450 m) Current: Moderate to strong (1–4 knots; drift diving) Visibility: 20–40 m Water Temp: 24–30°C Best Season: Apr–May, Oct–Nov (peak hammerhead &amp; oceanic whitetip) Type: Vertical wall, drift, coral plateau, Anemone City A 450 m-long standalone reef marked by a historic 19th-century lighthouse, it rises from abyssal depths. The north tip is the star: exposed to upwellings, it’s the top spot for scalloped hammerhead sharks (often 10+ in a group) and oceanic whitetip sharks. The east/west walls plunge vertically, carpeted in giant hard corals, soft corals, and sea fans. The southern “Anemone City” is a 15 m patch of dense anemones with clownfish colonies.",1,True,api,authoritative
Elphinstone Reef,Elphinstone Reef,natural,Marsa Alam,https://www.padi.com/dive-site/egypt/elphinstone-reef-3/,"Elphinstone Reef, just off the coast of Marsa Alam, Egypt, is one of the Red Sea’s most legendary dive sites. Famous for its dramatic drop-offs, vibrant coral walls, and thrilling encounters with large pelagics, it draws divers from around the world. This iconic reef offers unforgettable dives with steep walls covered in soft corals, swarms of anthias, barracudas, and regular sightings of Oceanic Whitetip Sharks, hammerheads, and turtles. Whether you&#x27;re chasing big fish action or admiring colorful reef life, Elphinstone delivers a world-class underwater experience.",1,True,api,authoritative
Marsa Assalaya,Marsa Assalaya,natural,Marsa Alam,https://www.padi.com/dive-site/egypt/marsa-assalaia/,"Perfect dive site for beginners and expert divers with possibilities to do shallow or deep dives. Well protected bay with entry from the beach, both sides of the bay with a beautiful and colorful reef. In the middle of the bay, there is a big area with seagrass. Possibility to meet green turtles and sea cow in the middle of the bay (big area with seagrass).",1,True,api,authoritative
Marsa Mubarak,Marsa Mubarak,natural,Marsa Alam,https://www.padi.com/dive-site/egypt/marsa-mubarak/,"Marsa Mubarak is a popular diving site located in the southern part of the Red Sea, near the city of Marsa Alam in Egypt. It is known for its pristine coral reefs and abundant marine life, making it a favorite destination for scuba diving and snorkeling enthusiasts. At Marsa Mubarak, divers can explore a variety of dive sites with diverse topography and marine ecosystems. The site features coral gardens, pinnacles, and walls, providing opportunities for both shallow and deep dives. The underwater scenery includes colorful coral formations, vibrant reef fish, and larger marine species such as turtles, dolphins, and occasionally even dugongs. One of the highlights of diving in Marsa Mubarak is the chance to encounter the resident population of endangered sea cows, also known as dugongs. These gentle creatures are known for their graceful movements and can occasionally be spotted in the seagrass meadows near the dive site.",1,True,api,authoritative
Sataya Reef (Dolphin Reef),Sataya Reef (Dolphin Reef),natural,Marsa Alam,https://www.padi.com/dive-site/egypt/sataya-reef-dolphin-house-marsa-alam-divesite/,"Sataya Reef, also known as Dolphin Reef, is one of the most iconic dive and snorkeling destinations in Marsa Alam, Red Sea, Egypt. Famous for its resident pods of spinner dolphins, Sataya offers an extraordinary chance to swim alongside these playful marine mammals in their natural habitat. The reef is also home to a vibrant ecosystem, including clownfish, butterflyfish, parrotfish, groupers, blue-spotted stingrays, and occasionally green sea turtles. The coral formations are rich and colorful, featuring both hard and soft corals that create a spectacular underwater landscape. Whether you&#x27;re diving or snorkeling, Blue Ocean Dive Centers &amp; Resorts Marsa Alam provides expert-guided tours to Sataya, ensuring a safe, respectful, and unforgettable encounter with marine life. Discover the magic of Sataya Reef and experience the beauty of the Red Sea with Blue Ocean, your trusted dive center in Marsa Alam.",1,True,api,authoritative
