poi_name,poi_id,source_url,official_description,extra_attrs,matched,method
Abu Dabbab Bay,Abu Dabbab Bay,https://www.padi.com/dive-site/egypt/abu-dabbab-1-dive-site/,"Abu Dabbab 1 is one of the most popular dive sites in Marsa Alam, Egypt, offering a unique mix of sandy bottom, coral reefs, and rich seagrass beds. Ideal for all experience levels, this site is famous for encounters with the rare dugong (sea cow) and large green turtles, often seen grazing in the shallow seagrass areas. The calm, clear waters make Abu Dabbab 1 perfect for underwater photography and relaxed diving. Divers can explore vibrant coral gardens teeming with clownfish, lionfish, butterflyfish, and the occasional guitar shark or blue-spotted stingray. The combination of easy shore access, abundant marine life, and excellent visibility makes it a must-visit location in Marsa Alam. Whether you&#x27;re a beginner or a seasoned diver, Abu Dabbab 1 offers unforgettable experiences beneath the surface. Join Blue Ocean Dive Centers &amp; Resorts for guided dives and discover why Abu Dabbab is one of the Red Sea’s most beloved dive sites.","{""dive_types"": ""Reef, Ocean"", ""common_sightings"": ""Angelfish, Lionfish, Trumpetfish / pipefish, Batfish, Clownfish, Butterflyfish, Parrotfish, Guitar shark, Eagle ray, Whitetip reef shark, Hawksbill turtle, Squid, Octopus, Giant cuttlefish, Stingray, Marbled electric ray, Filefish, Green Sea Turtle, sea cucumbers, Soft Coral, Seagrass, Cleaner shrimp, Various nudibranchs, Hard Corals"", ""lat"": 25.346742445695725, ""lng"": 34.772610432099505}",true,api
Sha'ab Samadai (Dolphin House),Sha'ab Samadai (Dolphin House),https://www.padi.com/dive-site/egypt/shaab-samadai-dolphin-house/,"Sha’ab Samadai, also known as Dolphin House, is a world-renowned marine park in Marsa Alam, Red Sea, Egypt, famous for its natural lagoon where wild spinner dolphins gather regularly. This protected reef offers a magical opportunity to observe and swim near dolphins in their natural habitat. Beyond dolphins, Sha’ab Samadai is home to a vibrant underwater world, including colorful reef fish, parrotfish, clownfish, barracuda, turtles, and blue-spotted stingrays. The reef’s horseshoe shape shelters lush coral gardens and dramatic swim-throughs ideal for both snorkeling and diving. With Blue Ocean Dive Centers &amp; Resorts Marsa Alam, guests enjoy guided, eco-friendly trips that prioritize safety and marine conservation. Whether you&#x27;re a diver or snorkeler, Sha’ab Samadai delivers one of the most unforgettable marine experiences in Marsa Alam. Explore the wonders of Dolphin House with Blue Ocean, your trusted gateway to the Red Sea.","{""dive_types"": ""Drift, Reef, Wall, Ocean"", ""common_sightings"": ""Barracuda, Angelfish, Butterflyfish, Clownfish, Parrotfish, Surgeonfish, Trumpetfish / pipefish, Starfish, Octopus, Squid, Cuttlefish, Stingrays, Spinner Dolphins, Nudibranchs, groupers, Sea fans, Hawksbill Turtles, Cleaner shrimp, Hard Corals, Soft Corals, Moray Eels, Sea cucumbers, snappers, Anthias, Damselfish, Green sea turtles, Bottlenose Dolphins, Trevally, Wrasses"", ""lat"": 24.98614418954001, ""lng"": 34.99913041236125}",true,api
Marsa Mubarak,Marsa Mubarak,https://www.padi.com/dive-site/egypt/marsa-mubarak/,"Marsa Mubarak is a popular diving site located in the southern part of the Red Sea, near the city of Marsa Alam in Egypt. It is known for its pristine coral reefs and abundant marine life, making it a favorite destination for scuba diving and snorkeling enthusiasts. At Marsa Mubarak, divers can explore a variety of dive sites with diverse topography and marine ecosystems. The site features coral gardens, pinnacles, and walls, providing opportunities for both shallow and deep dives. The underwater scenery includes colorful coral formations, vibrant reef fish, and larger marine species such as turtles, dolphins, and occasionally even dugongs. One of the highlights of diving in Marsa Mubarak is the chance to encounter the resident population of endangered sea cows, also known as dugongs. These gentle creatures are known for their graceful movements and can occasionally be spotted in the seagrass meadows near the dive site.","{""dive_types"": ""Beach, Drift, Pinnacle, Reef, Sandy bottom, Wall, Cavern, Ocean"", ""common_sightings"": ""Eagle ray, Manta ray, Turtle, Manatee (dugong), Shrimp"", ""lat"": 25.50880361546541, ""lng"": 34.65125188581456}",true,api
Sataya Reef (Dolphin Reef),Sataya Reef (Dolphin Reef),https://www.padi.com/dive-site/egypt/sataya-reef-dolphin-house-marsa-alam-divesite/,"Sataya Reef, also known as Dolphin Reef, is one of the most iconic dive and snorkeling destinations in Marsa Alam, Red Sea, Egypt. Famous for its resident pods of spinner dolphins, Sataya offers an extraordinary chance to swim alongside these playful marine mammals in their natural habitat. The reef is also home to a vibrant ecosystem, including clownfish, butterflyfish, parrotfish, groupers, blue-spotted stingrays, and occasionally green sea turtles. The coral formations are rich and colorful, featuring both hard and soft corals that create a spectacular underwater landscape. Whether you&#x27;re diving or snorkeling, Blue Ocean Dive Centers &amp; Resorts Marsa Alam provides expert-guided tours to Sataya, ensuring a safe, respectful, and unforgettable encounter with marine life. Discover the magic of Sataya Reef and experience the beauty of the Red Sea with Blue Ocean, your trusted dive center in Marsa Alam.","{""dive_types"": ""Drift, Reef, Wall, Ocean"", ""common_sightings"": ""Barracuda, Triggerfish, Butterflyfish, Surgeonfish, Angelfish, Clownfish, Parrotfish, Bottlenose dolphin, Octopus, Spinner Dolphins, snappers, Hard Corals, Soft Corals, Groupers, Moray Eels, Anthias, Damselfish, Green sea turtles, Trevally, Wrasses, Cuttlefish, Eagle Rays"", ""lat"": 24.16987538496957, ""lng"": 35.67197339639039}",true,api
Elphinstone Reef,Elphinstone Reef,https://www.padi.com/dive-site/egypt/elphinstone-reef-3/,"Elphinstone Reef, just off the coast of Marsa Alam, Egypt, is one of the Red Sea’s most legendary dive sites. Famous for its dramatic drop-offs, vibrant coral walls, and thrilling encounters with large pelagics, it draws divers from around the world. This iconic reef offers unforgettable dives with steep walls covered in soft corals, swarms of anthias, barracudas, and regular sightings of Oceanic Whitetip Sharks, hammerheads, and turtles. Whether you&#x27;re chasing big fish action or admiring colorful reef life, Elphinstone delivers a world-class underwater experience.","{""dive_types"": ""Drift, Reef, Wall, Ocean"", ""common_sightings"": ""Butterflyfish, Barracuda, Angelfish, Whale shark, Manta ray, Hammerhead shark, Oceanic whitetip shark, Thresher shark, Dolphins, Anthias, Giant Trevally, Napoleon Wrasse"", ""lat"": 25.324942348747847, ""lng"": 34.854168891906745}",true,api
Daedalus Reef (Abu Kizan),Daedalus Reef (Abu Kizan),https://www.padi.com/dive-site/egypt/daedalus-reef/,"Daedalus Reef (Abu Kizan) is a remote, isolated oceanic reef in the Egyptian Red Sea, ~90 km east of Marsa Alam. A liveaboard-only site, it’s famed as one of the world’s best hammerhead shark dive sites, with epic pelagic encounters and pristine walls. Depth: 5–40 m (drop-offs to 450 m) Current: Moderate to strong (1–4 knots; drift diving) Visibility: 20–40 m Water Temp: 24–30°C Best Season: Apr–May, Oct–Nov (peak hammerhead &amp; oceanic whitetip) Type: Vertical wall, drift, coral plateau, Anemone City A 450 m-long standalone reef marked by a historic 19th-century lighthouse, it rises from abyssal depths. The north tip is the star: exposed to upwellings, it’s the top spot for scalloped hammerhead sharks (often 10+ in a group) and oceanic whitetip sharks. The east/west walls plunge vertically, carpeted in giant hard corals, soft corals, and sea fans. The southern “Anemone City” is a 15 m patch of dense anemones with clownfish colonies.","{""dive_types"": ""Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles"", ""lat"": 24.8333, ""lng"": 35.9667}",true,api
Brother Islands (Al Ikhwan),Brother Islands (Al Ikhwan),https://www.padi.com/dive-site/egypt/brother-islands/,"Brothers Islands (El Ikhwa) — two remote volcanic islets (Big Brother &amp; Little Brother) 67 km offshore El Quseir, Egypt — is a Red Sea marine park and one of the world’s top 10 dive sites. Accessible only by liveaboard, it’s legendary for pristine vertical walls, iconic wrecks, and big shark encounters. Depth: 5–70 m (walls drop to 600+ m) Current: Strong (1–4 knots; advanced drift only) Visibility: 20–35 m Water Temp: 22–30°C Best Season: Apr–May, Oct–Nov (peak shark action) Type: Wall, drift, wreck, coral garden Big Brother (north) features a historic 1883 lighthouse and two legendary wrecks: Numidia (1901, 15–75 m, cargo ship with rail artifacts) and Aida (1953, 30–65 m, supply vessel). Both are draped in soft corals and teeming with life. Little Brother (south, 1 km away) boasts stunning unspoiled coral walls and is a prime hammerhead spot.","{""dive_types"": ""Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles"", ""lat"": 26.1667, ""lng"": 34.8333}",true,api
Marsa Assalaya,Marsa Assalaya,https://www.padi.com/dive-site/egypt/marsa-assalaia/,"Perfect dive site for beginners and expert divers with possibilities to do shallow or deep dives. Well protected bay with entry from the beach, both sides of the bay with a beautiful and colorful reef. In the middle of the bay, there is a big area with seagrass. Possibility to meet green turtles and sea cow in the middle of the bay (big area with seagrass).","{""dive_types"": ""Beach, Reef, Sandy bottom, Wall, Ocean"", ""common_sightings"": ""Manatee (dugong), Turtles, Dolphins, Eagle rays, Mobular rays"", ""lat"": 25.155656691728698, ""lng"": 34.85253810882569}",true,api
Sha'ab Marsa Alam,Sha'ab Marsa Alam,https://www.padi.com/dive-site/egypt/shaab-marsa-alam/,"Dive site is 10 minutes by boat from Marsa Alam marina. The perfect place for a drift dive (moderate current) around the reef surrounded by magnificent coral gardens! A small wreck can also be discovered on the southside. There you may encounter dolphins, stingrays, sea turtles, scorpionfish, crocodile fish, Napoleon wrasse, and parrotfish.","{""dive_types"": ""Wreck, Drift, Pinnacle, Reef, Ocean"", ""common_sightings"": ""Parrotfish, Napoleon fish, Scorpionfish, Sting ray, Sea turtle, Dolphins, Crocodile Fish"", ""lat"": 25.077203256978336, ""lng"": 34.936351776123054}",true,api
Sha'ab Abu Nuhas (Shipwreck Reef),Sha'ab Abu Nuhas (Shipwreck Reef),https://www.padi.com/dive-site/egypt/abu-nuhas-ghiannis-d/,"The Loss of the Giannis D: In April 1983, the Giannis D was loaded with sawn timber at Rijeka, Croatia destined for Saudi Arabia and Yemen. The ship made good time through the Mediterranean and down through the Suez Canal. On 19 April 1983 she was approaching the Straits of Gobal at full speed when the ship was seen to suddenly veer sharply from her course and drive hard onto the north west corner of Sha’ab Abu Nuhas Reef. The crew abandoned the vessel and were safely rescued.","{""dive_types"": ""Wreck"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles"", ""lat"": 27.57786754342932, ""lng"": 33.92320632934571}",true,api
